PROCEDURE CODE,LONG DESCRIPTION,SHORT DESCRIPTION,CODE,CODE1,
122,Removal of intracranial neurostimulator lead(s),Removal brain stim lead,122,1220,
123,Reopening of craniotomy site,Reopen craniotomy site,123,1230,
124,Other craniotomy,Other craniotomy,124,1240,
125,Other craniectomy,Other craniectomy,125,1250,
126,Insertion of catheter(s) into cranial cavity or tissue,Ins cath cranial cav/tis,126,1260,
127,Removal of catheter(s) from cranial cavity or tissue,Rem cath cranial cav/tis,127,1270,
128,Placement of intracerebral catheter(s) via burr hole(s),Intracereb cth-burr hole,128,1280,
129,Removal of cranial neurostimulator pulse generator,Rem brain pulse generatr,129,1290,
131,Incision of cerebral meninges,Incise cerebral meninges,131,1310,
132,Lobotomy and tractotomy,Lobotomy & tractotomy,132,1320,
139,Other incision of brain,Other brain incision,139,1390,
141,Operations on thalamus,Thalamus operations,141,1410,
142,Operations on globus pallidus,Globus pallidus ops,142,1420,
151,Excision of lesion or tissue of cerebral meninges,Ex cereb meningeal les,151,1510,
152,Hemispherectomy,Hemispherectomy,152,1520,
153,Lobectomy of brain,Brain lobectomy,153,1530,
159,Other excision or destruction of lesion or tissue of brain,Other brain excision,159,1590,
16,Excision of lesion of skull,Excise skull lesion,16,160,
201,Opening of cranial suture,Linear craniectomy,201,2010,
202,Elevation of skull fracture fragments,Elevate skull fx fragmnt,202,2020,
203,Formation of cranial bone flap,Skull flap formation,203,2030,
204,Bone graft to skull,Bone graft to skull,204,2040,
205,Insertion of skull plate,Skull plate insertion,205,2050,
206,Other cranial osteoplasty,Cranial osteoplasty NEC,206,2060,
207,Removal of skull plate,Skull plate removal,207,2070,
211,Simple suture of dura mater of brain,Simple suture of dura,211,2110,
212,Other repair of cerebral meninges,Brain meninge repair NEC,212,2120,
213,Ligation of meningeal vessel,Meninge vessel ligation,213,2130,
214,Choroid plexectomy,Choroid plexectomy,214,2140,
221,Insertion or replacement of external ventricular drain [EVD],Insert/replace EVD,221,2210,
222,Intracranial ventricular shunt or anastomosis,Intrcran vent shunt/anas,222,2220,
231,Ventricular shunt to structure in head and neck,Ventricl shunt-head/neck,231,2310,
232,Ventricular shunt to circulatory system,Ventri shunt-circula sys,232,2320,
233,Ventricular shunt to thoracic cavity,Ventricl shunt-thorax,233,2330,
234,Ventricular shunt to abdominal cavity and organs,Ventricl shunt-abdomen,234,2340,
235,Ventricular shunt to urinary system,Ventri shunt-uninary sys,235,2350,
239,Ventricular shunt to extracranial site NEC,Vent shunt extracran NEC,239,2390,
241,Irrigation and exploration of ventricular shunt,Irrigate/expl vent shunt,241,2410,
242,Replacement of ventricular shunt,Replace ventricle shunt,242,2420,
243,Removal of ventricular shunt,Remove ventricle shunt,243,2430,
291,Lysis of cortical adhesions,Lysis cortical adhesion,291,2910,
292,Repair of brain,Brain repair,292,2920,
293,Implantation or replacement of intracranial neurostimulator lead(s),Imp/repl brain stim lead,293,2930,
294,Insertion or replacement of skull tongs or halo traction device,Insert/replac skull tong,294,2940,
295,Removal of skull tongs or halo traction device,Remove skull tongs,295,2950,
296,Insertion of sphenoidal electrodes,Insert sphenoid electrod,296,2960,
299,"Other operations on skull, brain, and cerebral meninges",Skull & brain op NEC,299,2990,
301,Removal of foreign body from spinal canal,Removal FB spinal canal,301,3010,
302,Reopening of laminectomy site,Reopen laminectomy site,302,3020,
309,Other exploration and decompression of spinal canal,Spinal canal explor NEC,309,3090,
31,Division of intraspinal nerve root,Intraspin nerve root div,31,310,
321,Percutaneous chordotomy,Percutaneous chordotomy,321,3210,
329,Other chordotomy,Other chordotomy,329,3290,
331,Spinal tap,Spinal tap,331,3310,
332,Biopsy of spinal cord or spinal meninges,Spinal cord/meninges bx,332,3320,
339,Other diagnostic procedures on spinal cord and spinal canal structures,Other spinal dx proc,339,3390,
34,Excision or destruction of lesion of spinal cord or spinal meninges,Excis spinal cord lesion,34,340,
351,Repair of spinal meningocele,Spine meningocele repair,351,3510,
352,Repair of spinal myelomeningocele,Myelomeningocel repair,352,3520,
353,Repair of vertebral fracture,Vertebral fx repair,353,3530,
359,Other repair and plastic operations on spinal cord structures,Spinal struct repair NEC,359,3590,
36,Lysis of adhesions of spinal cord and nerve roots,Spinal cord adhesiolysis,36,360,
371,Spinal subarachnoid-peritoneal shunt,Subarach-periton shunt,371,3710,
372,Spinal subarachnoid-ureteral shunt,Subarach-ureteral shunt,372,3720,
379,Other shunt of spinal theca,Oth spinal thecal shunt,379,3790,
38,Injection of destructive agent into spinal canal,Destr inject-spine canal,38,380,
390,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances,Insert spinal canal cath,390,3900,
391,Injection of anesthetic into spinal canal for analgesia,Anesth inject-spin canal,391,3910,
392,Injection of other agent into spinal canal,Spinal canal inject NEC,392,3920,
393,Implantation or replacement of spinal neurostimulator lead(s),Imp/repl spine stim lead,393,3930,
394,Removal of spinal neurostimulator lead(s),Removal spine stim lead,394,3940,
395,Spinal blood patch,Spinal patch,395,3950,
396,Percutaneous denervation of facet,Percutan facet denervat,396,3960,
397,Revision of spinal thecal shunt,Revise spine theca shunt,397,3970,
398,Removal of spinal thecal shunt,Remove spine theca shunt,398,3980,
399,Other operations on spinal cord and spinal canal structures,Spine canal struc op NEC,399,3990,
401,Excision of acoustic neuroma,Excision acoustc neuroma,401,4010,
402,Division of trigeminal nerve,Trigeminal nerv division,402,4020,
403,Division or crushing of other cranial and peripheral nerves,Periph nerve div NEC,403,4030,
404,Other incision of cranial and peripheral nerves,Periph nerve incis NEC,404,4040,
405,Gasserian ganglionectomy,Gasserian ganglionectomy,405,4050,
406,Other cranial or peripheral ganglionectomy,Periph ganglionect NEC,406,4060,
407,Other excision or avulsion of cranial and peripheral nerves,Periph nerv excision NEC,407,4070,
411,Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion,Clos periph nerve biopsy,411,4110,
412,Open biopsy of cranial or peripheral nerve or ganglion,Open periph nerve biopsy,412,4120,
419,Other diagnostic procedures on cranial and peripheral nerves and ganglia,Periph nerve dx proc NEC,419,4190,
42,Destruction of cranial and peripheral nerves,Periph nerve destruction,42,420,
43,Suture of cranial and peripheral nerves,Peripheral nerve suture,43,430,
441,Decompression of trigeminal nerve root,Decompress trigem root,441,4410,
442,Other cranial nerve decompression,Cran nerv root decom NEC,442,4420,
443,Release of carpal tunnel,Carpal tunnel release,443,4430,
444,Release of tarsal tunnel,Tarsal tunnel release,444,4440,
449,Other peripheral nerve or ganglion decompression or lysis of adhesions,Per nerve adhesiolys NEC,449,4490,
45,Cranial or peripheral nerve graft,Peripheral nerve graft,45,450,
46,Transposition of cranial and peripheral nerves,Periph nerve transposit,46,460,
471,Hypoglossal-facial anastomosis,Hypogloss-facial anastom,471,4710,
472,Accessory-facial anastomosis,Accessory-facial anastom,472,4720,
473,Accessory-hypoglossal anastomosis,Access-hypogloss anastom,473,4730,
474,Other anastomosis of cranial or peripheral nerve,Periph nerv anastom NEC,474,4740,
475,Revision of previous repair of cranial and peripheral nerves,Postop revis per nerv op,475,4750,
476,Repair of old traumatic injury of cranial and peripheral nerves,Late repair per nerv inj,476,4760,
479,Other neuroplasty,Other neuroplasty,479,4790,
480,"Peripheral nerve injection, not otherwise specified",Periph nerve inject NOS,480,4800,
481,Injection of anesthetic into peripheral nerve for analgesia,Anesth injec periph nerv,481,4810,
489,"Injection of other agent, except neurolytic",Periph nerve inject NEC,489,4890,
491,Neurectasis,Neurectasis,491,4910,
492,Implantation or replacement of peripheral neurostimulator lead(s),Imp/repl peri stim lead,492,4920,
493,Removal of peripheral neurostimulator lead(s),Removal peri stim lead,493,4930,
499,Other operations on cranial and peripheral nerves,Peripheral nerve ops NEC,499,4990,
50,Division of sympathetic nerve or ganglion,Sympath nerve division,50,500,
511,Biopsy of sympathetic nerve or ganglion,Sympathetic nerve biopsy,511,5110,
519,Other diagnostic procedures on sympathetic nerves or ganglia,Sympath nrv dx proc NEC,519,5190,
521,Sphenopalatine ganglionectomy,Sphenopalatin ganglionec,521,5210,
522,Cervical sympathectomy,Cervical sympathectomy,522,5220,
523,Lumbar sympathectomy,Lumbar sympathectomy,523,5230,
524,Presacral sympathectomy,Presacral sympathectomy,524,5240,
525,Periarterial sympathectomy,Periart sympathectomy,525,5250,
529,Other sympathectomy and ganglionectomy,Other sympathectomy,529,5290,
531,Injection of anesthetic into sympathetic nerve for analgesia,Anesth inject symp nerve,531,5310,
532,Injection of neurolytic agent into sympathetic nerve,Neurolyt injec-symp nrv,532,5320,
539,Other injection into sympathetic nerve or ganglion,Sympath nerve inject NEC,539,5390,
581,Repair of sympathetic nerve or ganglion,Sympathetic nerve repair,581,5810,
589,Other operations on sympathetic nerves or ganglia,Sympathetic nerve op NEC,589,5890,
59,Other operations on nervous system,Other nervous system ops,59,590,
601,Aspiration of thyroid field,Thyroid field aspiration,601,6010,
602,Reopening of wound of thyroid field,Reopen thyroid field wnd,602,6020,
609,Other incision of thyroid field,Incis thyroid field NEC,609,6090,
611,Closed [percutaneous] [needle] biopsy of thyroid gland,Closed thyroid gland bx,611,6110,
612,Open biopsy of thyroid gland,Open thyroid gland bx,612,6120,
613,Biopsy of parathyroid gland,Parathyroid biopsy,613,6130,
619,Other diagnostic procedures on thyroid and parathyroid glands,Thyr/parathy dx proc NEC,619,6190,
62,Unilateral thyroid lobectomy,Unilat thyroid lobectomy,62,620,
631,Excision of lesion of thyroid,Excision thyroid lesion,631,6310,
639,Other partial thyroidectomy,Part thyroidectomy NEC,639,6390,
64,Complete thyroidectomy,Complete thyroidectomy,64,640,
650,"Substernal thyroidectomy, not otherwise specified",Substern thyroidect NOS,650,6500,
651,Partial substernal thyroidectomy,Part substern thyroidect,651,6510,
652,Complete substernal thyroidectomy,Tot substern thyroidect,652,6520,
66,Excision of lingual thyroid,Lingual thyroid excision,66,660,
67,Excision of thyroglossal duct or tract,Thyrogloss duct excision,67,670,
681,Complete parathyroidectomy,Total parathyroidectomy,681,6810,
689,Other parathyroidectomy,Other parathyroidectomy,689,6890,
691,Division of thyroid isthmus,Thyroid isthmus division,691,6910,
692,Ligation of thyroid vessels,Thyroid vessel ligation,692,6920,
693,Suture of thyroid gland,Thyroid suture,693,6930,
694,Thyroid tissue reimplantation,Thyroid reimplantation,694,6940,
695,Parathyroid tissue reimplantation,Parathyroid reimplant,695,6950,
698,Other operations on thyroid glands,Other thyroid operations,698,6980,
699,Other operations on parathyroid glands,Other parathyroid ops,699,6990,
700,"Exploration of adrenal field, not otherwise specified",Adrenal exploration NOS,700,7000,
701,Unilateral exploration of adrenal field,Unilat adrenal explorat,701,7010,
702,Bilateral exploration of adrenal field,Bilat adrenal explorat,702,7020,
711,Closed [percutaneous] [needle] biopsy of adrenal gland,Closed adrenal gland bx,711,7110,
712,Open biopsy of adrenal gland,Open adrenal gland bx,712,7120,
713,"Biopsy of pituitary gland, transfrontal approach",Transfront pituitary bx,713,7130,
714,"Biopsy of pituitary gland, transsphenoidal approach",Transphen pituitary bx,714,7140,
715,"Biopsy of pituitary gland, unspecified approach",Pituitary biopsy NOS,715,7150,
716,Biopsy of thymus,Thymus biopsy,716,7160,
717,Biopsy of pineal gland,Pineal biopsy,717,7170,
719,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus",Endocrine dx proc NEC,719,7190,
721,Excision of lesion of adrenal gland,Adrenal lesion excision,721,7210,
722,Unilateral adrenalectomy,Unilateral adrenalectomy,722,7220,
729,Other partial adrenalectomy,Part adrenalectomy NEC,729,7290,
73,Bilateral adrenalectomy,Bilateral adrenalectomy,73,730,
741,Incision of adrenal gland,Adrenal incision,741,7410,
742,Division of nerves to adrenal glands,Adrenal nerve division,742,7420,
743,Ligation of adrenal vessels,Adrenal vessel ligation,743,7430,
744,Repair of adrenal gland,Adrenal repair,744,7440,
745,Reimplantation of adrenal tissue,Adrenal reimplantation,745,7450,
749,"Other operations on adrenal glands, nerves, and vessels",Adrenal operation NEC,749,7490,
751,Exploration of pineal field,Pineal field exploration,751,7510,
752,Incision of pineal gland,Pineal gland incision,752,7520,
753,Partial excision of pineal gland,Partial pinealectomy,753,7530,
754,Total excision of pineal gland,Total pinealectomy,754,7540,
759,Other operations on pineal gland,Pineal operation NEC,759,7590,
761,"Partial excision of pituitary gland, transfrontal approach",Exc pituit les-transfron,761,7610,
762,"Partial excision of pituitary gland, transsphenoidal approach",Exc pituit les-transphen,762,7620,
763,"Partial excision of pituitary gland, unspecified approach",Part excis pituitary NOS,763,7630,
764,"Total excision of pituitary gland, transfrontal approach",Tot exc pituit-transfron,764,7640,
765,"Total excision of pituitary gland, transsphenoidal approach",Tot exc pituit-transphen,765,7650,
768,"Total excision of pituitary gland, other specified approach",Total exc pituitary NEC,768,7680,
769,"Total excision of pituitary gland, unspecified approach",Total exc pituitary NOS,769,7690,
771,Exploration of pituitary fossa,Pituitary fossa explorat,771,7710,
772,Incision of pituitary gland,Pituitary gland incision,772,7720,
779,Other operations on hypophysis,Pituitary operation NEC,779,7790,
780,"Thymectomy, not otherwise specified",Thymectomy NOS,780,7800,
781,Other partial excision of thymus,Oth part excision thymus,781,7810,
782,Other total excision of thymus,Oth totl excision thymus,782,7820,
783,Thoracoscopic partial excision of thymus,Thorac part exisn thymus,783,7830,
784,Thoracoscopic total excision of thymus,Thorac total exc thymus,784,7840,
791,Exploration of thymus field,Thymus field exploration,791,7910,
792,Other incision of thymus,Other incision of thymus,792,7920,
793,Repair of thymus,Repair of thymus,793,7930,
794,Transplantation of thymus,Thymus transplantation,794,7940,
795,Thoracoscopic incision of thymus,Thorac incision thymus,795,7950,
798,Other and unspecified thoracoscopic operations on thymus,Oth thorac op thymus NOS,798,7980,
799,Other and unspecified operations on thymus,Other thymus ops NOS,799,7990,
801,Incision of lid margin,Incision of lid margin,801,8010,
802,Severing of blepharorrhaphy,Blepharorrhaphy severing,802,8020,
809,Other incision of eyelid,Other eyelid incision,809,8090,
811,Biopsy of eyelid,Eyelid biopsy,811,8110,
819,Other diagnostic procedures on eyelid,Eyelid dx procedure NEC,819,8190,
820,"Removal of lesion of eyelid, not otherwise specified",Remove eyelid lesion NOS,820,8200,
821,Excision of chalazion,Chalazion excision,821,8210,
822,Excision of other minor lesion of eyelid,Excise minor les lid NEC,822,8220,
823,"Excision of major lesion of eyelid, partial-thickness",Exc maj les lid prt-thic,823,8230,
824,"Excision of major lesion of eyelid, full-thickness",Exc maj les lid ful-thic,824,8240,
825,Destruction of lesion of eyelid,Destruction lid lesion,825,8250,
831,Repair of blepharoptosis by frontalis muscle technique with suture,Ptosis rep-front mus sut,831,8310,
832,Repair of blepharoptosis by frontalis muscle technique with fascial sling,Ptosis rep-fron mus slng,832,8320,
833,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis,Ptosis rep-levat mus adv,833,8330,
834,Repair of blepharoptosis by other levator muscle techniques,Ptosis rep-levat mus NEC,834,8340,
835,Repair of blepharoptosis by tarsal technique,Ptos rep-tarsal techniq,835,8350,
836,Repair of blepharoptosis by other techniques,Blepharoptos repair NEC,836,8360,
837,Reduction of overcorrection of ptosis,Reduc overcorrect ptosis,837,8370,
838,Correction of lid retraction,Correct lid retraction,838,8380,
841,Repair of entropion or ectropion by thermocauterization,Thermocaut/entropion rep,841,8410,
842,Repair of entropion or ectropion by suture technique,Suture entropion repair,842,8420,
843,Repair of entropion or ectropion with wedge resection,Wedg resec entropion rep,843,8430,
844,Repair of entropion or ectropion with lid reconstruction,Lid recons entropion rep,844,8440,
849,Other repair of entropion or ectropion,Entropion/ectrop rep NEC,849,8490,
851,Canthotomy,Canthotomy,851,8510,
852,Blepharorrhaphy,Blepharorrhaphy,852,8520,
859,Other adjustment of lid position,Adjust lid position NEC,859,8590,
861,Reconstruction of eyelid with skin flap or graft,Lid reconst w skin graft,861,8610,
862,Reconstruction of eyelid with mucous membrane flap or graft,Lid reconst w muc graft,862,8620,
863,Reconstruction of eyelid with hair follicle graft,Lid reconst w hair graft,863,8630,
864,Reconstruction of eyelid with tarsoconjunctival flap,Lid recon-tarsoconj flap,864,8640,
869,Other reconstruction of eyelid with flaps or grafts,Lid reconstr w graft NEC,869,8690,
870,"Reconstruction of eyelid, not otherwise specified",Lid reconstruction NOS,870,8700,
871,"Reconstruction of eyelid involving lid margin, partial-thickness",Lid marg recon-part thic,871,8710,
872,"Other reconstruction of eyelid, partial-thickness",Lid recons-part thic NEC,872,8720,
873,"Reconstruction of eyelid involving lid margin, full-thickness",Lid marg recons ful thic,873,8730,
874,"Other reconstruction of eyelid, full-thickness",Lid reconst-ful thic NEC,874,8740,
881,Linear repair of laceration of eyelid or eyebrow,Linear rep lid lacer,881,8810,
882,"Repair of laceration involving lid margin, partial-thickness",Lid marg lac rx-part th,882,8820,
883,"Other repair of laceration of eyelid, partial-thickness",Lid lacer rx-prt th NEC,883,8830,
884,"Repair of laceration involving lid margin, full-thickness",Lid marg lac rx-ful thic,884,8840,
885,"Other repair of laceration of eyelid, full-thickness",Lid lac rx-ful thic NEC,885,8850,
886,Lower eyelid rhytidectomy,Lower lid rhytidectomy,886,8860,
887,Upper eyelid rhytidectomy,Upper lid rhytidectomy,887,8870,
889,Other eyelid repair,Eyelid repair NEC,889,8890,
891,Electrosurgical epilation of eyelid,Electrosurg lid epilat,891,8910,
892,Cryosurgical epilation of eyelid,Cryosurg lid epilation,892,8920,
893,Other epilation of eyelid,Eyelid epilation NEC,893,8930,
899,Other operations on eyelids,Eyelid operation NEC,899,8990,
90,Incision of lacrimal gland,Lacrimal gland incision,90,900,
911,Biopsy of lacrimal gland,Lacrimal gland biopsy,911,9110,
912,Biopsy of lacrimal sac,Lacrimal sac biopsy,912,9120,
919,Other diagnostic procedures on lacrimal system,Lacrimal sys dx proc NEC,919,9190,
920,"Excision of lacrimal gland, not otherwise specified",Exc lacrimal gland NOS,920,9200,
921,Excision of lesion of lacrimal gland,Excis les lacrimal gland,921,9210,
922,Other partial dacryoadenectomy,Part dacryoadenect NEC,922,9220,
923,Total dacryoadenectomy,Total dacryoadenectomy,923,9230,
93,Other operations on lacrimal gland,Other lacrimal gland ops,93,930,
941,Probing of lacrimal punctum,Lacrimal punctum probe,941,9410,
942,Probing of lacrimal canaliculi,Lac canaliculi probe,942,9420,
943,Probing of nasolacrimal duct,Nasolacrimal duct probe,943,9430,
944,Intubation of nasolacrimal duct,Nasolac duct intubat,944,9440,
949,Other manipulation of lacrimal passage,Lac passage manip NEC,949,9490,
951,Incision of lacrimal punctum,Lac punctum incision,951,9510,
952,Incision of lacrimal canaliculi,Lac canaliculi incision,952,9520,
953,Incision of lacrimal sac,Lacrimal sac incision,953,9530,
959,Other incision of lacrimal passages,Lacrim passage incis NEC,959,9590,
96,Excision of lacrimal sac and passage,Lacrim sac/passage excis,96,960,
971,Correction of everted punctum,Correct everted punctum,971,9710,
972,Other repair of punctum,Punctum repair NEC,972,9720,
973,Repair of canaliculus,Canaliculus repair,973,9730,
981,Dacryocystorhinostomy [DCR],Dacryocystorhinostomy,981,9810,
982,Conjunctivocystorhinostomy,Conjunctivocystorhinost,982,9820,
983,Conjunctivorhinostomy with insertion of tube or stent,Conjunctivorhinos w tube,983,9830,
991,Obliteration of lacrimal punctum,Lac punctum obliteration,991,9910,
999,Other operations on lacrimal system,Lacrimal system op NEC,999,9990,
100,Removal of embedded foreign body from conjunctiva by incision,Incise/remov conjunct FB,100,1000,
101,Other incision of conjunctiva,Conjunctiva incision NEC,101,1010,
1021,Biopsy of conjunctiva,Conjunctival biopsy,1021,10210,
1029,Other diagnostic procedures on conjunctiva,Conjunctiva dx proc NEC,1029,10290,
1031,Excision of lesion or tissue of conjunctiva,Excise conjunctiv lesion,1031,10310,
1032,Destruction of lesion of conjunctiva,Destruct conjunc les NEC,1032,10320,
1033,Other destructive procedures on conjunctiva,Oth conjunc destruc proc,1033,10330,
1041,Repair of symblepharon with free graft,Symbleph rep w free grft,1041,10410,
1042,Reconstruction of conjunctival cul-de-sac with free graft,Graft conjunc cul-de-sac,1042,10420,
1043,Other reconstruction of conjunctival cul-de-sac,Conjun cul-de-sac rx NEC,1043,10430,
1044,Other free graft to conjunctiva,Conjunc free graft NEC,1044,10440,
1049,Other conjunctivoplasty,Conjunctivoplasty NEC,1049,10490,
105,Lysis of adhesions of conjunctiva and eyelid,Conjunc/lid adhesiolysis,105,1050,
106,Repair of laceration of conjunctiva,Repair conjunct lacerat,106,1060,
1091,Subconjunctival injection,Subconjunctival inject,1091,10910,
1099,Other operations on conjunctiva,Conjunctival op NEC,1099,10990,
